dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@100,recall@100,ndcg@100
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2237,17,0.1,0.01,[100],40,0.409,20.476010696962476,0.12095618,0.17311553,0.19110905
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2238,18,0.1,0.01,[100],40,0.408,20.383799921022728,0.11910359,0.17249881,0.18575681
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2239,19,0.1,0.01,[100],40,0.395,20.434544255025685,0.12818725,0.18332425,0.19947004
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",2,2240,20,0.1,0.01,[100],40,0.397,21.683197925100103,0.12378486,0.17704834,0.19414466
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2421,1,0.1,0.01,[100],40,0.324,20.15174634801224,0.14605578,0.21295814,0.23141954
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2422,2,0.1,0.01,[100],40,0.33,20.7738942920696,0.15537849,0.22800593,0.24796649
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2423,3,0.1,0.01,[100],40,0.322,20.27233135001734,0.14756972,0.21682065,0.23370027
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2424,4,0.1,0.01,[100],40,0.331,20.597770939115435,0.14563745,0.21201424,0.22757743
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2425,5,0.1,0.01,[100],40,0.337,20.81735428306274,0.13569721,0.19488186,0.21200754
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2426,6,0.1,0.01,[100],40,0.332,20.094877170864493,0.15161355,0.22255499,0.24167984
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2427,7,0.1,0.01,[100],40,0.326,20.178851110860705,0.13900398,0.20496304,0.21807779
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2428,8,0.1,0.01,[100],40,0.334,20.42201933916658,0.14446215,0.21281885,0.2285922
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2429,9,0.1,0.01,[100],40,0.324,20.059026576112956,0.14412351,0.20814742,0.22721054
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2430,10,0.1,0.01,[100],40,0.328,19.97111606807448,0.14780876,0.21508582,0.23082378
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2431,11,0.1,0.01,[100],40,0.321,20.563752247020602,0.14432271,0.20854089,0.22537951
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2432,12,0.1,0.01,[100],40,0.326,20.1968109481968,0.15175299,0.2202648,0.24319309
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2433,13,0.1,0.01,[100],40,0.325,19.993516619782895,0.14474104,0.20905145,0.22949216
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2434,14,0.1,0.01,[100],40,0.329,20.70816261204891,0.14731076,0.21675768,0.23296334
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2435,15,0.1,0.01,[100],40,0.326,20.00719141890295,0.14553785,0.21167733,0.23196291
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2436,16,0.1,0.01,[100],40,0.332,20.3674366439227,0.14673307,0.2120764,0.23238268
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2437,17,0.1,0.01,[100],40,0.324,20.56373581313528,0.14868526,0.21361088,0.23411006
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2438,18,0.1,0.01,[100],40,0.322,20.15083728497848,0.14615538,0.21336207,0.23345538
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2439,19,0.1,0.01,[100],40,0.331,20.182454800000414,0.157749,0.2337107,0.25228316
